"","Country","Current.Account.Balance...GDP","Fertility.Rate","Infant.Mortaility.under.5.per.1.000","GDP.per.Capita","Life.Expectancy","X5.Year.Inflation","Unemployment","Literacy.Rate..2018.with.some.data.added.","Electricity.Consumption.2014","Manufacturing...GDP","Services...GDP","Ariculture...GDP","Urbanzation...Population","Government.Spending...GDP","GDP.growth","Natural.Reasorces...GDP","Bank.Account...pop..2014.data.","Female.Male.Bank.Accounts","Gender.Equality.Education","Ease.of.Doing.Buissness.Rank.2019.","Manufacturing.Growth","Services.Growth","Agriculture.Growth","Time.to.Pay.Taxes","Medium.and.High.Tech.Industry..","Homocides.per.100000","Suicides.per.100000","Alcohol.Consumption..2016.","Muslim.Population.Percent","Tariff.Rate.Weighted.Average","Gini.Index.2015.14","Migrant...Population","McDonalds.per.Million","Maternal.Mortality.per.100000","Air.Polution.Deaths.per.100000","Population.Growth.Rate","Exports...GDP","Capital.formation...GDP","CO2.Emissions.per.capita..2014.","Visa.Free.Passport.Destinations","Papers.per.Million","Higher.Education","Press.Freedom.Index.2016.","Age.at.First.Marriage..Female.","Median.Age..2018.","Economic.Complexity","Km.of.roads.per.Million.People..Different.Years.","Steel.Production.per.capita","Height.of.Tallest.Building..meters..2020","X..using.Internet","Hospital.Beds.per.1000..Different.Years.","Basic.Water.Services...Population","Tuberculosis.per.100000.people","Legality.of.Homosexuality..2019.","Legality.of.Marital.Rape..2020.","Wheat.Productivity.per.Hectare","Video.Game.Revenue.Per.Person..2019.","Log.Tourists.Population.","Log.Container.Port.Traffic.Per.Capita.","Log.Patent.Applications.per.Capita.","S.P.Credit.Rating","Year.2020.Constitution.was.adopted","Mortality.Rate.Unsafe.Water.per.100000","Bond.Yeild.8.29.2020","X2009.Importance.of.Religion","ISO3","ISO2","UN"
"34","Canada",-3.56997806,1.563,5.3,43495.05439,81.9,7.225377103,6.906000137,100,15588.48715,10.33750674,66.74851334,1.711327321,81.259,17.09942508,0.6899065212,0.7782804984,99.10332489,1.001952214,1.00839,23,0.5667486061,1.467132343,4.354437316,131,38.8938131,1.7,12.5,8.9,3.2,1.65,NA,21.80166365,40.61293831,11,7,0.746339478,31.92397928,23.87695403,15.15892722,183,1695.470856,64.78696,15.26,29.6,42.2,1.13,29193.70041,0.3501115371,309,90,2.7,99.38903,5.2,0,0,"3,291.70",67.19340621,-0.2981313466,-0.7897361936,-3.921564341,8,NA,0.4,0.63,42,"CAN","CA","124"
"35","Central Europe and the Baltics",NA,1.454271692,5.751877265,12467.45018,76.59107024,9.06059665,7.817327597,98.99005,4115.630201,18.81704202,55.7238132,2.875667484,62.14068325,36.087822,3.830079284,0.6837951942,NA,NA,0.99218,NA,6.273394743,3.916748509,-5.441713465,223.0909091,NA,NA,15.57878973,12.17730299,NA,NA,NA,3.278495272,NA,9,42.03724476,-0.2302432827,62.58632696,22.86784464,6.14888254,NA,852.3679738,61.04804,NA,NA,NA,NA,NA,NA,NA,67.34947,NA,99.41212,NA,0,NA,"",NA,-0.1072482915,-1.342315741,-4.1084506,NA,NA,0.177176284,NA,NA,NA,NA,NA
"36","Switzerland",11.24665494,1.54,4.3,82081.59712,82.89756098,-1.058165382,4.801000118,100,7520.166025,17.94237828,71.0412704,0.6498944493,73.718,17.14741246,1.333369086,0.0106781242,97.98564148,0.973139867,0.97934,36,0.7206990776,1.847273988,-6.484793519,63,63.64355756,0.7,17.1,11.5,5.2,1.3,32.3,29.38668554,20.16324745,NA,10.1,1.138337152,62.21613873,23.0674273,4.311562994,185,2640.12974,57.70735,11.76,30.1,42.4,2.16,8627.213671,0,205,87.47906,4.7,100,7.4,0,0,"4,370.50",64.83631065,0.05056038621,-1.905673093,-3.748775496,8,1999,0.1,-0.42,41,"CHE","CH","756"
"37","Channel Islands",NA,1.541,NA,NA,82.429,NA,7.77699995,NA,NA,NA,NA,NA,30.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.28162647,0,NA,NA,0.7800091143,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,94.15,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chile",-2.315305345,1.75,7.9,13574.1715,79.646,17.07960023,6.507999897,96.40228,3879.675605,11.66119158,57.8926858,3.63888345,87.36,21.65093855,2.303767036,12.19524845,63.25888062,0.8724056102,0.9886,59,0.1963861918,2.795673463,6.263368658,291,24.22612554,3.4,10.9,9.3,0.1,0.64,44.4,2.615513217,4.285073592,14,25.3,1.177757471,29.3763486,23.78573234,4.6490622,174,335.9892813,85.26672,19.23,32.6,34.4,0.03,4327.590426,0,300,76.63,2.2,99.60089,16,0,0,"6,070.60",13.02217169,-0.603448351,-0.6818234387,-4.608128714,6,1980,0.2,2.53,70,"CHL","CL","152"
"39","China",2.761229869,1.665,10.7,8033.388043,75.928,13.42562859,4.599999905,96.84089,3927.0445,29.50760861,50.4637876,8.42204052,55.5,NA,6.90531667,1.355871546,78.8526001,0.9370860952,1.01158,31,NA,8.194375797,3.903654485,261,41.45126852,0.7,9.6,7.2,3,4.52,38.6,0.0710763963,1.96904946,30,112.7,0.5081367473,21.44327356,45.60334613,7.543907641,74,297.526728,46.04043,80.96,24.9,37.4,0.61,3655.503858,0.5861933169,632,50.3,4.2,91.73492,65,0,1,"5,408.80",25.08714867,-1.382101742,-0.8470725277,-3.151118736,6,1982,0.6,3.09,NA,"CHN","CN","156"
"40","Côte d'Ivoire",-0.6075616258,4.813,90,1426.457845,56.065,15.51628594,3.112999916,47.16535,274.7300905,14.73425804,42.87534904,22.73562326,49.444,18.59805612,8.84285995,4.779857494,34.32202148,0.7438451534,0.81822,110,9.625976312,-12.41378717,2.878369762,272,14.98979586,NA,14.4,8.4,42.9,8,41.5,9.582598655,0,658,269.1,2.522094681,37.71798058,20.10381936,0.4876880341,57,8.260088642,8.79438,30.17,19.5,20.9,-0.97,3530.332178,0,158,38.44,0.4,72.65446,159,0,0,"",NA,-1.207313115,-1.570097078,NA,3,2016,47.2,NA,88,"CIV","CI","384"
"41","Cameroon",-3.794834536,4.777,85.8,1326.969277,57.583,9.657509472,3.539000034,77.07104,275.1979137,14.66331959,52.07620492,14.77247235,54.578,12.93601632,5.651463744,6.569553129,12.17773438,0.7178413242,0.88346,167,3.076737258,3.421977623,5.2901467,648,7.611958329,1.2,12.3,8.9,30,NA,46.6,1.636313704,0,554,208.1,2.68179173,22.25966622,22.39604838,0.3087917224,49,27.40406538,16.96239,40.53,19,18.5,-1.01,1903.953101,0,90,20.68015,1.3,60.20857,212,1,1,"1,331.60",NA,-1.414533058,-1.787541904,NA,3,1996,45.2,NA,96,"CMR","CM","120"
"42","Congo, (Kinshasa)",-3.913104488,6.203,97.4,497.3169608,59.254,22.34067668,4.173999786,77.04268,108.5167011,17.1286573,33.10437481,18.3703885,42.74,NA,6.91618781,30.65340197,17.47698402,0.6929624652,0.88949,183,13.73232483,9.070483371,4.65686075,346,NA,NA,5.6,2.6,10,NA,NA,0.7062462806,0,490,163.9,3.30283221,27.7255678,18.5271202,0.06333088903,42,1.62805092,NA,50.97,19,18.6,NA,2013.219464,0,88,3.8,0.8,42.39378,324,0,1,"1,323.70",NA,-2.333205509,-3.228996258,NA,3,2006,59.8,NA,94,"COD","CD","180"
"43","Congo (Brazzaville)",-54.11698729,4.587,54.9,1761.32357,63.097,-29.51792509,9.758999825,80.29876,202.8721289,7.326381826,38.08212647,7.243495885,65.543,21.61201986,2.646485877,25.03315619,17.06959724,0.7809737978,NA,180,10.30558495,3.84808683,5.239843254,602,2.415318415,NA,6.1,7.8,2,11.55,NA,8.505799369,0,416,130.7,2.483608177,69.27556739,40.87290974,0.6533597187,48,14.2810221,NA,35.84,21,19.7,-1.04,3560.268075,0,106,7.615975,1.6,71.14958,379,0,1,"",NA,-1.343864493,-0.929651066,NA,3,2001,38.7,NA,95,"COG","CG","178"
