"","Country","Current.Account.Balance...GDP","Fertility.Rate","Infant.Mortaility.under.5.per.1.000","GDP.per.Capita","Life.Expectancy","X5.Year.Inflation","Unemployment","Literacy.Rate..2018.with.some.data.added.","Electricity.Consumption.2014","Manufacturing...GDP","Services...GDP","Ariculture...GDP","Urbanzation...Population","Government.Spending...GDP","GDP.growth","Natural.Reasorces...GDP","Bank.Account...pop..2014.data.","Female.Male.Bank.Accounts","Gender.Equality.Education","Ease.of.Doing.Buissness.Rank.2019.","Manufacturing.Growth","Services.Growth","Agriculture.Growth","Time.to.Pay.Taxes","Medium.and.High.Tech.Industry..","Homocides.per.100000","Suicides.per.100000","Alcohol.Consumption..2016.","Muslim.Population.Percent","Tariff.Rate.Weighted.Average","Gini.Index.2015.14","Migrant...Population","McDonalds.per.Million","Maternal.Mortality.per.100000","Air.Polution.Deaths.per.100000","Population.Growth.Rate","Exports...GDP","Capital.formation...GDP","CO2.Emissions.per.capita..2014.","Visa.Free.Passport.Destinations","Papers.per.Million","Higher.Education","Press.Freedom.Index.2016.","Age.at.First.Marriage..Female.","Median.Age..2018.","Economic.Complexity","Km.of.roads.per.Million.People..Different.Years.","Steel.Production.per.capita","Height.of.Tallest.Building..meters..2020","X..using.Internet","Hospital.Beds.per.1000..Different.Years.","Basic.Water.Services...Population","Tuberculosis.per.100000.people","Legality.of.Homosexuality..2019.","Legality.of.Marital.Rape..2020.","Wheat.Productivity.per.Hectare","Video.Game.Revenue.Per.Person..2019.","Log.Tourists.Population.","Log.Container.Port.Traffic.Per.Capita.","Log.Patent.Applications.per.Capita.","S.P.Credit.Rating","Year.2020.Constitution.was.adopted","Mortality.Rate.Unsafe.Water.per.100000","Bond.Yeild.8.29.2020","X2009.Importance.of.Religion","ISO3","ISO2","UN"
"54","Germany",8.520507305,1.5,3.9,41394.65816,80.64146341,8.314128306,4.624000072,100,7035.482975,20.68546932,61.97559088,0.6527357767,77.2,27.6992384,1.738967619,0.07199401695,98.76040649,1.01420261,0.96611,22,0.9489191534,1.926907497,-13.62930342,218,62.21252027,0.8,13.8,13.4,6,1.89,31.7,14.8790513,18.11802426,5,16,0.865702644,46.84858766,19.99943896,8.889370395,189,1303.186639,67.74687,14.8,30.9,47.1,2.1,7889.665052,0.5227294838,300.1,87.5898,8.3,100,8,0,0,"7,640.90",61.07488044,-0.3684552462,-0.6302308872,-3.236519159,8,1949,0.6,-0.44,40,"DEU","DE","276"
"55","Djibouti",-18.46469979,2.912,65.3,1787.4775,64.136,3.208683035,11.09399986,NA,NA,3.594597556,70.43477347,1.776889864,77.417,NA,9.683798116,0.9473410457,NA,NA,1.00581,112,4.953599448,6.984871629,-1.405651561,76,NA,NA,6.4,0.5,97,NA,NA,12.65412041,0,247,159,1.6878089,140.5794145,18.17977277,0.8038302162,47,6.247312616,NA,70.9,NA,23.9,NA,3314.029757,0,51,11.92243,1.4,75.57727,367,0,1,"",NA,NA,-0.001901477293,NA,NA,1992,31.3,NA,98,"DJI","DJ","262"
"56","Dominica",-6.812461586,NA,32.1,7597.750446,NA,9.560720189,NA,NA,NA,3.420391437,59.24654,14.05274374,69.579,NA,-2.55050302,0.0471790701,NA,NA,0.98606,111,-9.513930053,-1.184259113,-2.784596502,117,NA,12.3,NA,8.2,0.2,13.72,NA,9.246009906,0,NA,NA,0.1377681777,37.62251796,NA,1.908686783,140,152.7049998,NA,NA,NA,33.5,-0.42,21241.02665,0,26,65,3.8,96.5,11,1,1,"",NA,0.02268497604,-0.9854394696,NA,NA,1978,NA,NA,NA,"DMA","DM","212"
"57","Denmark",8.244292108,1.71,4.2,53254.856,80.70243902,5.367167328,6.168000221,100,5858.801536,12.40344489,65.8338122,0.9575802079,87.526,40.44420113,2.342590432,0.5304239318,100,1,1.01845,4,-0.5202112706,2.647788502,-12.52039524,132,54.12692037,1.1,11.9,10.4,5.4,1.89,28.2,10.09899135,15.65941167,4,13.2,0.7064238497,55.41817498,20.6312061,5.935712482,187,2501.098358,82.12949,8.89,32,42.2,1.23,13676.82458,0,120,96.3305,2.5,100,6.5,0,0,"7,206.70",52.25668837,0.2634198374,-0.8795533019,-3.589667193,8,1849,0.3,-0.3,19,"DNK","DK","208"
"58","Dominican Republic",-1.86084458,2.405,31.3,6691.71692,73.241,20.53920536,7.605000019,93.77846,1615.515242,13.89719882,59.00263017,5.602784823,78.566,15.72550524,7.033371069,1.268395251,54.09098816,1.071995544,0.98537,115,4.356690892,6.064622532,2.346529047,316,NA,NA,9.7,6.9,0.1,6.04,45.2,3.947079853,3.015071467,94,43,1.13957128,23.7615823,23.44214517,2.11899467,65,3.367154006,51.74711,27.9,NA,28.1,-0.42,1916.515589,0,171,54.21577,1.6,96.11692,55,0,0,"",5.641101454,-0.263876056,-0.8747732845,-5.614124074,4,2010,2.2,NA,87,"DOM","DO","214"
"59","Algeria",-16.28976556,3.043,24.9,4177.888966,76.09,18.85740478,11.20600033,81.40784,1362.871919,33.99135763,47.35204679,11.57870748,70.848,NA,3.763466958,16.24918902,50.47578812,0.6578816242,NA,157,1.842884957,4.918602491,6,385,2.693262231,1.4,3.2,0.9,99,8.27,NA,0.6110720227,0,114,49.7,2.045387243,23.17173869,50.78084798,3.735520147,51,104.6409934,36.78132,41.69,27.8,28.1,-1.01,2860.826834,0,270,38.2,1.9,93.4746,75,1,1,"1,691.20",2.693312844,-1.366100865,-1.504521042,-5.649706969,NA,1963,1.9,NA,95,"DZA","DZ","012"
"60","East Asia & Pacific (excluding high income)",NA,1.874993254,17.94169829,6487.756902,74.49622762,15.39493316,4.091427108,95.86556,3048.799369,27.75921233,50.09568473,9.239949704,52.68532475,NA,6.509708361,1.802478968,69.13577271,0.9437993585,1.00161,NA,NA,7.648733046,3.187380287,222.25,NA,NA,8.407972965,6.309473811,NA,4.24,NA,0.4119457634,NA,77,114.5022089,0.7211469077,26.26261276,41.76916939,5.776128446,NA,217.9694597,40.77012,NA,NA,NA,NA,NA,NA,NA,44.29042,NA,91.02504,149,0,NA,"",NA,-1.124555901,-0.892606825,-3.321277346,NA,NA,2.225841464,NA,NA,NA,NA,NA
"61","Early-demographic dividend",NA,2.572599161,40.22974751,3291.528607,69.74927422,24.25485278,4.656637433,79.35073,1151.272611,15.96172327,53.13589893,9.740871085,43.92997877,21.97689684,4.65573742,4.918104324,NA,NA,1.01769,NA,5.17780179,5.026167882,2.718798466,277.7685246,NA,NA,10.06435356,4.07342429,NA,NA,NA,1.648824177,NA,159,142.5589137,1.380258332,24.40341325,27.92554084,2.298216409,NA,85.61448408,29.1959,NA,NA,NA,NA,NA,NA,NA,25.77265,NA,89.57213,NA,0,NA,"",NA,-1.138524144,-1.497914866,-5.079342865,NA,NA,13.46624097,NA,NA,NA,NA,NA
"62","East Asia & Pacific",NA,1.831081638,17.1,9526.576304,75.39255688,12.68130071,4.061982121,95.6076,3677.511598,23.33325472,59.38373833,5.046275589,56.43842096,NA,4.134023113,1.45202051,71.99716187,0.9546151451,1.001,NA,NA,4.005314569,2.53144636,194.8793103,NA,NA,9.545174795,6.550818605,NA,3.12,NA,1.131733541,NA,73,105.0348063,0.6780000888,30.31599771,32.61554467,6.294256272,NA,312.502082,43.72954,NA,NA,NA,NA,NA,NA,NA,48.99875,NA,91.83311,138,0,NA,"",NA,-0.9385227369,-0.7730177559,-3.211117564,NA,NA,2.069936315,NA,NA,NA,NA,NA
"63","Europe & Central Asia (excluding high income)",NA,1.971289635,14.76273242,7517.912478,72.71037286,23.13839807,7.542561916,99.0011,4252.974105,13.84899919,54.30938781,5.818590073,66.42803261,29.7568515,0.8188004164,6.333463565,57.78715515,0.9540358303,0.9888,NA,1.119382346,1.055986996,3.887112212,253.8125,NA,NA,19.29543233,8.155663929,NA,2.94,NA,6.865066577,NA,20,60.05082999,0.6247327371,30.8357616,24.22390315,7.433808662,NA,284.5725053,64.55692,NA,NA,NA,NA,NA,NA,NA,58.79349,NA,96.06675,61,0,NA,"",NA,-0.527317466,-1.480577503,-4.010847116,NA,NA,0.365074732,NA,NA,NA,NA,NA
"64","Europe & Central Asia",NA,1.763377947,10,22500.03684,77.23880001,8.982268626,8.543163706,98.33417,5372.231382,14.14135326,64.5423507,2.022624415,71.62192472,35.49317273,2.034003617,1.220333708,77.72668457,0.9580832374,0.99526,NA,3.019431149,1.854037141,1.552890524,196.4234694,NA,NA,15.79327639,9.881563839,NA,2.52,NA,9.478641126,NA,14,36.29813039,0.477094681,41.86850308,20.87561692,6.921413601,NA,848.27596,66.0904,NA,NA,NA,NA,NA,NA,NA,70.044,NA,98.10694,33,0,NA,"",NA,-0.1732284758,-0.9009409171,-3.806684381,NA,NA,0.303888688,NA,NA,NA,NA,NA
"65","Ecuador",-2.236947642,2.499,15.1,6124.491643,76.143,14.28264113,3.615999937,92.82979,1376.393115,14.42350795,51.37334502,9.454851422,63.398,NA,0.09887260835,4.891877179,46.21242523,0.7870460089,1.02246,129,-0.807951651,1.312441765,2.909047967,654,12.21381608,6.5,9.6,4.4,0.1,6.38,46,2.400299101,1.850478842,63,24.5,1.617888472,21.25822138,26.87009832,2.753266363,91,41.24840705,44.89223,33.21,NA,27.7,-0.77,2599.922773,0,136.6,48.94043,1.5,93.05378,39,0,0,"1,525",4.626197106,-0.9855631165,-0.9345184037,-5.908807135,3,2008,0.6,NA,82,"ECU","EC","218"
"66","Egypt",-5.182867908,3.436,23.6,3598.970948,71.302,61.03704263,13.05200005,71.16825,1683.213518,16.6974467,53.17054708,11.39408323,42.785,30.23036949,4.372019078,4.126283206,14.12679672,0.4960852915,NA,114,2.996593867,5.009684512,3.071406716,392,18.48591267,NA,3.8,0.4,94.7,7.08,31.8,0.5372672867,1.233198389,39,108.9,2.207038658,13.18384549,14.28863701,2.232732005,50,106.2332261,35.02813,54.45,27.9,23.9,-0.38,1947.479876,0.05949641349,143,37.81938,1.6,98.96033,15,1,1,"6,575.30",3.169536209,-1.004973225,-1.109355138,-5.109747459,3,2014,2,NA,97,"EGY","EG","818"
"67","Euro area",NA,1.549830401,3.819832504,34412.45439,81.56932908,6.426525947,10.83614138,NA,6352.754427,14.97542614,66.05118044,1.563896795,76.33970204,36.95622215,2.099581643,0.1145118009,94.67966461,0.9818610861,0.99582,NA,3.884465459,1.705920928,0.4890336658,158.7631579,NA,NA,12.92292972,11.16766117,NA,NA,NA,12.21912052,NA,5,14.25476152,0.3031824332,44.47861829,20.25459263,6.474998007,NA,1250.958838,70.91849,NA,NA,NA,NA,NA,NA,NA,77.47254,NA,99.80443,NA,0,NA,"",NA,0.01689210834,-0.5884213325,-3.66606311,NA,NA,0.289153925,NA,NA,NA,NA,NA
"68","Eritrea",NA,4.217,46.6,NA,64.664,13.3408506,6.80700016,76.57052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85546,189,NA,NA,NA,216,5.310413534,NA,8.1,1.3,51.6,NA,NA,NA,NA,518,173.7,NA,NA,NA,NA,42,NA,3.4765,83.92,17.4,19.7,NA,NA,NA,39,1.083733,0.7,51.46509,102,1,1,"1,230.20",NA,NA,NA,NA,NA,1997,45.6,NA,NA,"ERI","ER","232"
"69","Spain",1.148847657,1.33,3.3,25817.38661,82.83170732,0.7687047568,22.05699921,98.4365,5355.987006,12.44777624,67.01641285,2.602655469,79.602,20.53803074,3.644680152,0.06996995023,97.57530975,0.9998571575,1.00453,30,4.607930726,3.119030492,4.688165933,158,41.1839733,0.7,8.1,10,2.6,1.89,36.2,12.69023719,11.19607882,4,9.9,-0.07758886159,33.62651843,18.99627873,5.033824487,188,1187.366551,85.61178,19.92,32.3,42.7,0.82,14709.38683,0.3208107201,249,78.6896,3,99.92672,9.9,0,0,"3,096",47.41108763,0.1666877503,-0.5107969284,-4.219934498,6,1978,0.2,0.32,49,"ESP","ES","724"
"70","Estonia",1.832635617,1.58,3.2,17412.44867,77.5902439,15.98972722,6.186999798,100,6732.367473,13.88512482,60.14373478,2.677750166,68.416,36.09188855,1.90028659,1.122301151,97.67166901,0.9953621206,0.99779,18,2.383881136,2.197392422,2.78446075,81,29.90457862,3.4,15.8,11.6,0.1,1.89,32.7,15.41630922,7.60220981,10,25,0.06555252954,76.87341316,24.81948772,14.84881917,179,1199.803559,72.16762,14.31,29,42.7,0.87,44406.02794,0,123.7,88.4097,5,99.71054,18,0,0,"2,768.50",18.24530354,0.3523782587,-0.7995376996,-4.641938894,7,1992,0.1,NA,16,"EST","EE","233"
"71","Ethiopia",-11.6514616,4.565,63.5,639.3043597,65.048,80.32359047,2.013999939,51.77118,69.19875316,4.404619139,39.54570915,36.05697539,19.428,10.37763701,10.39246302,12.10858488,21.79158211,0.9284757868,0.92146,159,18.22264406,11.10524319,6.377789827,306,16.07359294,NA,7.2,2.9,33.9,12.14,35,1.079526012,0,446,144.4,2.756127788,9.363313597,40.67127298,0.1182405762,44,10.33049307,NA,45.13,17.4,17.9,-1.32,1094.991803,0,117.7,13.85518,0.3,38.98173,192,1,1,"2,675.50",0.2578458066,-2.067099533,NA,-6.74834077,3,1995,43.7,NA,100,"ETH","ET","231"
"72","European Union",NA,1.570028681,4.266475642,32265.88088,80.62059281,6.660721562,9.38320489,NA,5908.359506,14.29324368,66.04825375,1.482080344,75.02261157,36.94339404,2.338866108,0.2123595643,NA,NA,1.00083,NA,3.654102635,2.012694913,-0.4867170696,177.2678571,NA,NA,12.76562132,11.32933709,NA,1.89,NA,10.36300643,NA,6,19.95613518,0.2180222903,45.75770219,20.5946317,7.308419544,NA,1200.54008,66.86957,NA,NA,NA,NA,NA,NA,NA,75.65464,NA,99.74848,NA,0,NA,"",NA,-0.005449997273,-0.6806609317,-3.722081791,NA,NA,0.267210186,NA,NA,NA,NA,NA
"73","Fragile and conflict affected situations",NA,4.453770007,76.39765064,1604.72826,62.45077645,20.19834149,5.797991839,63.75516,447.1417596,NA,48.40309668,15.89598185,40.31657535,NA,2.207629639,16.09079527,NA,NA,0.86689,NA,4.864707785,1.330625692,-1.46425019,265.8970588,NA,NA,6.606093444,2.522113699,NA,NA,NA,1.921155871,NA,599,201.665981,2.325497297,NA,NA,0.6209131427,NA,14.10686037,12.38867,NA,NA,NA,NA,NA,NA,NA,24.82164,NA,66.04396,NA,0,NA,"",NA,NA,-1.990771307,NA,NA,NA,43.15532617,NA,NA,NA,NA,NA
"74","Finland",-0.7221328151,1.65,2.2,42494.65662,81.4804878,11.45252053,9.376000404,100,15249.98938,14.77671087,60.77960677,2.221936443,85.225,40.50259107,0.5006620103,0.5546959161,100,1,1.05718,20,0.55986684,0.3890612972,3.839733529,93,41.2750841,1.5,14.4,10.7,1.8,1.89,27.1,5.739683257,11.86232909,3,7.2,0.3293838858,35.38502997,21.67590159,8.660721243,188,1996.970179,87.67987,8.59,31.2,42.5,1.77,82853.80628,0.7299894827,134,86.42213,4.4,100,5.6,0,0,"3,830.30",46.17183478,-0.3201107009,-0.4804938876,-3.628490471,7,2000,0.1,-0.28,28,"FIN","FI","246"
"75","Fiji",-3.501280156,2.8,24.6,5390.745258,67.103,31.46616081,4.547999859,99.08211,NA,10.49615959,55.43723574,7.871624014,54.726,26.25768466,4.663807838,1.678001764,NA,NA,NA,102,5.876750577,3.310673965,2.921566834,257,7.130207831,NA,5,3,6.3,11.12,NA,1.541341374,4.604968531,35,99,0.2505937637,NA,NA,1.350070921,88,114.571617,NA,29.37,NA,28.9,NA,3564.245643,0,65,42.5,2.3,93.80295,52,0,0,"",NA,-0.06088637302,-0.9875735389,NA,3,2013,2.9,NA,NA,"FJI","FJ","242"
"76","France",-0.3744643523,1.96,4.1,36613.37522,82.32195122,4.603078799,10.35900021,100,6939.521474,10.43366363,70.20872149,1.605644387,79.655,47.99197792,1.112912342,0.04149825049,96.58275604,0.9762615374,1.00342,32,0.6674057168,1.113770669,0.1404746828,137,52.17690276,1.6,18,12.6,8.8,1.89,32.7,12.08847938,21.32286771,8,9.7,0.3555692401,30.59262238,22.71232406,4.573459729,186,1080.806275,62.78593,23.83,30.8,41.3,1.42,14507.45408,0.2254002929,231,78.01,6.5,100,8.4,0,0,"5,304.10",50.57982572,0.103473156,-1.05138032,-3.667618562,7,1958,0.3,-0.11,30,"FRA","FR","250"
"77","Faroe Islands",NA,2.4,NA,52404.65933,81.94634146,NA,NA,NA,NA,6.392586253,56.41354071,15.86518313,41.638,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,11.44629557,0,NA,NA,0.1895616695,51.211522,21.49219373,12.46290659,NA,0,NA,NA,NA,37.6,NA,9635.595513,0,NA,94.2,NA,100,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRO","FO","234"
"78","Micronesia, Federated States of",NA,3.193,33.9,2894.345011,67.315,6.575120856,NA,NA,NA,0.4209344701,61.92778279,26.06011745,22.456,20.73854306,4.931500557,0.03026376532,NA,NA,NA,158,13.35400773,2.982500221,9.539970374,128,NA,NA,11.4,2.5,0.1,NA,NA,2.638330461,0,95,151.8,1.339571942,27.06499921,NA,1.399279638,118,61.98631709,NA,NA,25.5,25.1,NA,2203.957941,0,NA,31.50108,3.2,78.56648,119,0,NA,"",NA,-0.5428533452,NA,NA,NA,NA,3.6,NA,NA,"FSM","FM","583"
"79","Gabon",0.9806829645,4.064,51,7381.746749,64.913,-6.197162652,19.98600006,84.66716,1167.852214,16.68703304,39.02919298,4.311629044,88.118,17.18518723,3.878899395,13.43766716,33.01418304,0.8678872323,NA,169,-1.604686965,5.210003126,8.247833203,488,5.385013366,NA,7.3,11.5,10,14.54,NA,15.55585953,0,261,76,3.335098786,46.0320085,29.23095629,2.756381782,57,32.68493997,NA,32.2,20.4,18.6,-1.06,4708.151109,0,54,45.78454,6.3,85.4748,537,0,0,"",NA,NA,-0.5751891828,NA,NA,1991,20.6,NA,NA,"GAB","GA","266"
"80","United Kingdom",-4.911138754,1.8,4.5,44472.1517,80.95609756,7.494440508,5.301000118,100,5129.527793,9.032887286,70.79963014,0.5895542818,82.626,38.11035642,2.349121443,0.3519043038,98.93105316,0.9942656726,1.01641,8,-0.1037052406,2.232562554,0.9251933538,105,48.32148858,1,8.7,11.5,6.3,1.89,33.2,13.20097825,19.56501805,8,13.8,0.7923675058,27.65142188,17.41335993,6.498532947,185,1529.818861,56.45849,21.7,31.5,40.5,1.64,6097.390268,0.1658572959,309.7,92.0003,2.8,100,10,0,0,"7,889.70",72.65470988,-0.276676476,-0.8315578436,-3.641465834,7,NA,0.2,0.32,27,"GBR","GB","826"
"81","Georgia",-12.62750588,2.05,10.5,3756.383768,72.973,19.42974243,14.07999992,99.36426,2693.97276,10.91996372,58.75656577,7.896559977,57.448,25.68995705,2.880526546,0.9890624333,39.66506958,1.005331866,1.01436,7,-12.6,3.577903182,-0.1,362,10.75836391,NA,8.1,9.8,10.7,0.3,36.5,4.220248352,4.294983781,27,101.8,0.1574814052,40.86223663,26.29468101,2.416460496,116,132.8277422,46.48113,27.96,26.6,38.1,-0.14,5482.546797,0,200,47.56976,2.6,97.91408,99,0,0,"2,573.20",5.368729726,-0.09230348696,-1.22480548,-4.57552326,4,1995,0.2,NA,81,"GEO","GE","268"
"82","Ghana",-5.74122377,4.041,54.7,1766.005701,62.772,117.8614845,6.806000233,79.03964,351.301579,11.36703719,39.542166,20.24717548,54.086,30.53291666,2.1782068,12.41530173,40.50579453,0.9449517181,0.98152,118,3.659581656,2.998707578,2.25419495,224,0.8024775685,1.9,5.3,2.7,17.6,NA,NA,1.457397152,0,320,203.8,2.268814549,31.95879558,30.08398345,0.5313717379,65,28.10959954,15.69071,17.95,21.7,21.1,-1.05,3932.428233,0,92,25,0.9,79.41982,160,1,0,"",0.8258763581,-1.492020359,-1.490570293,NA,3,1992,18.8,NA,95,"GHA","GH","288"
"83","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,5693.106004,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,34.34522147,29.64192554,NA,NA,0.03261143504,NA,NA,15.65746479,NA,0,NA,NA,NA,34.7,NA,859.6158406,0,NA,NA,NA,100,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIB","GI","292"
"84","Guinea",-11.60086596,4.933,107.2,769.2560137,59.598,30.44211693,4.210999966,NA,NA,12.11873629,45.50622732,18.47824205,35.141,NA,3.81494989,17.73092167,6.960017204,0.4199304439,NA,156,11.55618049,9.179618725,7.604009614,440,NA,NA,6.4,1.3,89.1,NA,NA,1.811566559,0,699,243.3,2.48970209,21.49687039,24.16336504,0.2196718727,55,2.620693613,NA,33.08,16.5,18.9,-1.23,3879.256353,0,100,8.2,0.3,62.30217,177,1,1,"",NA,-2.514057514,-1.92779179,NA,NA,2010,44.6,NA,97,"GIN","GN","324"
"85","Gambia",-7.113569991,5.39,64.7,668.3812029,60.91,83.30249946,9.538999557,NA,NA,6.107449128,53.15346967,23.55410333,59.228,NA,5.868247526,6.125535092,NA,NA,NA,155,2.637964704,-0.2432046257,3.950152716,326,3.898408805,NA,5.2,3.8,95.7,NA,35.9,9.670886483,0,625,237,3.008473803,16.26805616,12.68840099,0.2536409818,68,20.68691091,NA,46.53,NA,21,NA,1793.025419,0,43,16.5,1.1,77.66074,174,1,0,"",NA,-0.6670388148,-1.506371799,NA,NA,1997,29.7,NA,NA,"GMB","GM","270"
"86","Guinea-Bissau",1.998634463,4.708,91.2,603.1585129,56.959,24.20262346,4.31799984,NA,NA,10.70263964,36.42825408,46.78812527,42.123,NA,6.134082941,19.44178163,NA,NA,NA,174,9.060332142,6.589801903,2.908363034,218,NA,2.7,3.9,4.8,45.1,NA,NA,1.210903718,0,694,214.7,2.610508916,27.54304392,8.085553072,0.1603354685,53,5.589447859,NA,29.03,NA,20.1,NA,1988.830314,0,52,3.540707,1,65.71803,361,0,0,"",NA,-1.59837621,NA,NA,NA,1984,35.3,NA,NA,"GNB","GW","624"
"87","Equatorial Guinea",NA,4.774,94.2,11278.92894,57.359,-0.6393781579,8.906999588,NA,NA,17.8446575,39.12221535,1.888390876,70.616,9.943302762,-9.110041149,19.02142879,NA,NA,NA,178,-10.18504474,-2.952791931,11.75060725,492,NA,NA,16.5,11.3,10,NA,NA,1.280974132,0,296,177.7,4.042030141,56.65847382,24.7014529,4.763967152,55,3.662602433,NA,66.47,NA,19.8,NA,2464.554908,0,58,21.32,2.1,64.1786,172,0,1,"",NA,NA,-2.067653989,NA,NA,1991,22.3,NA,NA,"GNQ","GQ","226"
"88","Greece",-0.8196656554,1.33,4.6,18167.77372,81.03658537,-4.102685647,24.89699936,97.36874,5062.606422,8.658239733,70.36874322,3.796795286,78.046,51.73578393,-0.4378339176,0.1011238788,87.51864624,0.9788945011,0.95957,79,-3.694290092,-0.1048703442,-0.1611215407,193,22.9970485,0.8,4.8,10.4,5.7,1.89,36,11.34237737,2.310347501,3,27.6,-0.6588613609,31.55327071,10.21701144,6.180337268,184,1038.468857,NA,30.35,29.9,44.5,0.11,10811.13251,0,103,66.835,4.3,100,4.7,0,0,"2,770.70",15.80277691,0.338630899,-0.4685329135,-4.293900012,4,1975,0.1,1.1,71,"GRC","GR","300"
"89","Grenada",-11.0210608,2.126,15,9096.870646,72.445,10.60758805,NA,NA,NA,3.41926031,66.76277398,7.428340961,35.997,NA,6.443143733,0,NA,NA,0.97118,146,3.651344738,3.074718116,33.86015525,140,NA,5.6,1.1,9.3,0.3,11.92,NA,6.606131524,0,25,45.3,0.6379855142,51.23329381,NA,2.222383427,143,303.3786805,95.62066,NA,NA,31.5,NA,10282.94054,0,37,53.81,3.7,95.62865,5.2,1,0,"",NA,0.1505251066,-0.8356866089,NA,NA,1991,0.3,NA,NA,"GRD","GD","308"
"90","Greenland",NA,2.01,NA,44536.40131,71.24634146,16.56600422,NA,NA,NA,4.062139433,62.93639748,17.03957464,86.071,NA,-2.529498324,0,NA,NA,NA,NA,-9.52651208,0.3202414295,-20.25653675,NA,NA,7.1,NA,NA,0.1,NA,NA,10.69483501,0,NA,NA,-0.3220385493,37.57984513,24.02966611,8.989181988,NA,533.2002709,NA,NA,NA,33.9,NA,0,0,NA,67.60044,14.4,100,165,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRL","GL","304"
"91","Guatemala",-0.1511740345,3.029,29,3923.573344,73.25,19.86912104,2.506000042,NA,577.8973542,18.49893808,60.4015212,10.48103647,49.971,11.84591901,4.140044358,2.075025926,41.34921646,0.7115971008,0.95891,96,3.450436989,4.70412236,3.152424071,256,22.40264457,29.4,3.1,2.5,0.1,1.39,48.3,0.4671876718,5.845280112,103,73.8,2.046250883,21.16044686,13.62468792,1.151000836,133,5.124772426,21.78329,NA,NA,22.1,-0.56,707.6480691,0,101,28.80594,0.6,93.24812,26,0,0,"2,128.80",2.584229102,-1.042715531,-1.043541859,-6.365820237,4,1986,6.3,NA,88,"GTM","GT","320"
"92","Guam",NA,2.383,NA,35278.92594,79.144,9.297957662,6.900000095,NA,NA,NA,NA,NA,94.534,NA,0.5614714424,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,44.78853342,37.07067524,NA,NA,0.5184776953,18.35376532,NA,NA,NA,0,NA,NA,NA,29,NA,6456.475938,0,NA,73.14,NA,99.6952,54,0,NA,"",NA,0.9397902395,-0.002294877576,NA,NA,NA,NA,NA,NA,"GUM","GU","316"
"93","Guyana",-1.214248462,2.534,33.1,4166.134826,69.262,13.98731011,12.55200005,NA,NA,3.325674351,43.33767023,19.51601495,26.441,NA,3.162407787,18.70250825,NA,NA,NA,134,5.47721524,4.879720453,2.31769711,256,NA,19.4,29.1,6.3,7.3,6.73,NA,2.005514382,0,172,107.8,0.5293934805,36.00806391,15.45514718,2.632392779,88,12.8350134,NA,27.07,NA,26.2,NA,0,0,32,34,1.6,95.16186,93,1,0,"",NA,-0.5690695588,-1.162126412,NA,NA,1980,3.6,NA,NA,"GUY","GY","328"
"94","High income",NA,1.665345586,5.3,40165.80357,80.48961424,7.538272482,6.617682155,100,9042.602688,14.16734649,69.55821865,1.323109195,80.80221283,27.78330045,2.323516927,1.105866991,92.82724762,0.9914831173,0.99587,NA,2.392018748,2.196462687,1.720696115,154.2241379,NA,NA,14.31654,9.744893217,NA,2.13,NA,13.56167435,NA,11,17.8376783,0.5859169883,31.28393887,21.82723911,10.92675697,NA,1221.7344,75.54148,NA,NA,NA,NA,NA,NA,NA,79.80054,NA,99.44702,12,0,NA,"",NA,-0.1952173395,-0.552284465,-3.15800112,NA,NA,0.299735078,NA,NA,NA,NA,NA
"95","Hong Kong, SAR China",3.317584187,1.196,NA,42431.88828,84.27804878,15.74904734,3.319999933,100,6083.269936,1.113965008,89.8369248,0.06796537519,100,NA,2.387808053,0.001083058041,96.14763641,1.002714809,0.99878,3,-1.532857246,1.731077084,-6.836327345,44.5,36.6098931,0.3,NA,NA,4.1,0,NA,38.94993992,32.50449165,NA,NA,0.8511979111,195.8976016,21.54147973,6.393600526,170,0,69.54381,28.5,28.9,44.4,0.43,286.6429855,0,NA,84.94835,4.9,100,72,0,0,"",68.84917642,0.5634785141,0.4406934782,-4.484407067,7,NA,NA,0.6,24,"HKG","HK","344"
